file_name,line_number,assertion_code,line_count
sar_adc_ideal_conv.sv,62,assume (sys_counter == 0); // Equivalent to ?Q กล P assume (cycles == 0);,3
sar_adc_ideal_conv.sv,66,assume (sys_clk == 0);,1
sar_adc_ideal_conv.sv,67,assume (eoc_high_counter == 0);,1
sar_adc_ideal_conv.sv,68,assume (hit_eoc == 0);,1
sar_adc_ideal_conv.sv,69,assume (held_value == 0);,1
sar_adc_nonideal_conv.sv,62,assume (sys_counter == 0); // Equivalent to ?Q กล P assume (cycles == 0);,3
sar_adc_nonideal_conv.sv,66,assume (sys_clk == 0);,1
sar_adc_nonideal_conv.sv,67,assume (eoc_high_counter == 0);,1
sar_adc_nonideal_conv.sv,68,assume (hit_eoc == 0);,1
sar_adc_nonideal_conv.sv,69,assume (held_value == 0);,1
sar_adc_ideal_conv.sv,62,assume (sys_counter == 0); // Equivalent to ?Q กล P assume (cycles == 0);,3
sar_adc_ideal_conv.sv,66,assume (sys_clk == 0);,1
sar_adc_ideal_conv.sv,67,assume (eoc_high_counter == 0);,1
sar_adc_ideal_conv.sv,68,assume (hit_eoc == 0);,1
sar_adc_ideal_conv.sv,69,assume (held_value == 0);,1
sar_adc_nonideal_conv.sv,62,assume (sys_counter == 0); // Equivalent to ?Q กล P assume (cycles == 0);,3
sar_adc_nonideal_conv.sv,66,assume (sys_clk == 0);,1
sar_adc_nonideal_conv.sv,67,assume (eoc_high_counter == 0);,1
sar_adc_nonideal_conv.sv,68,assume (hit_eoc == 0);,1
sar_adc_nonideal_conv.sv,69,assume (held_value == 0);,1
sar_adc_ideal_conv.sv,62,assume (sys_counter == 0); // Equivalent to ?Q กล P assume (cycles == 0);,3
sar_adc_ideal_conv.sv,66,assume (sys_clk == 0);,1
sar_adc_ideal_conv.sv,67,assume (eoc_high_counter == 0);,1
sar_adc_ideal_conv.sv,68,assume (hit_eoc == 0);,1
sar_adc_ideal_conv.sv,69,assume (held_value == 0);,1
axi_lite_to_axi.sv,109,assert(in.AXI_ADDR_WIDTH == out.AXI_ADDR_WIDTH);,1
axi_lite_to_axi.sv,110,assert(in.AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
axi_lite_to_axi.sv,111,assert(AXI_DATA_WIDTH == out.AXI_DATA_WIDTH);,1
uvmc_common.sv,367,assert(port_name != "");,1
uvmc_commands.sv,294,assert(info != null);,1
uvmc_commands.sv,443,assert(info != null);,1
FSM.sv,185,assert(currentState == 4'h7 && RF_Ra_addr == 4'h5 && RF_Rb_addr == 4'h3 && RF_W_addr == 4'h6 && RF_W_en == 1'b1);,1
FSM.sv,200,assert(currentState == 4'h9 && RF_Ra_addr == 4'h1 && RF_Rb_addr == 4'h2 && RF_W_addr == 4'h5 && RF_W_en == 1'b1);,1
Datapath.sv,241,assert(DUT.RegUnit.wrData == 16'h0000 && RF_W_en == 1'b0);,1
PC.sv,43,assert(addr == k); //Throws error if something is wrong. #10;,2
FSM.sv,175,assert(currentState == 4'h7 && RF_Ra_addr == 4'h5 && RF_Rb_addr == 4'h3 && RF_W_addr == 4'h6 && RF_W_en == 1'b1);,1
FSM.sv,190,assert(currentState == 4'h9 && RF_Ra_addr == 4'h1 && RF_Rb_addr == 4'h2 && RF_W_addr == 4'h5 && RF_W_en == 1'b1);,1
Datapath.sv,241,assert(DUT.RegUnit.wrData == 16'h0000 && RF_W_en == 1'b0);,1
tb_cvi_ciris.sv,138,assert property (check_pix_out_sum) $display("line out is full");,2
vortex_afu.sv,764,assert(!dbg_cci_rd_rsp_mask[cci_rd_rsp_tag]);,1
model_100gbe.sv,89,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,774,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,809,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,1398,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,1416,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,1431,assert (resp==OKAY);,1
x4xx_qsfp_wrapper_tb.sv,1440,assert (resp==OKAY);,1
vortex_afu.sv,763,assert(!dbg_cci_rd_rsp_mask[cci_rd_rsp_tag]);,1
tb_labTwo.sv,24,assert(result == inA + inB);,1
tb_labTwo.sv,27,assert(result == inA << inB);,1
tb_labTwo.sv,24,assert(result == inA + inB);,1
tb_labTwo.sv,27,assert(result == inA << inB);,1
TB_FIFO.sv,70,assert(read_empty === 1);,1
TB_FIFO.sv,71,assert(write_full === 0);,1
TB_FIFO.sv,72,assert(read_data === 0);,1
TB_FIFO.sv,84,assert(read_empty === 0);,1
TB_FIFO.sv,85,assert(write_full === 0);,1
TB_FIFO.sv,86,assert(read_data === 1);,1
TB_FIFO.sv,92,assert(read_empty === 0);,1
TB_FIFO.sv,93,assert(write_full === 1);,1
TB_FIFO.sv,94,assert(read_data === 1);,1
TB_FIFO.sv,101,assert(read_empty === 0);,1
TB_FIFO.sv,102,assert(write_full === 1);,1
TB_FIFO.sv,103,assert(read_data === 1);,1
TB_FIFO.sv,111,assert(read_data === i);,1
tb_testprogs.sv,115,"assert property (pc_jump) else $display( ""\n\n Error OP: %s , PC is [%d], address is [%d] \n\n"", $past( opcode ), (dut.program_counter), $past( dut.idu_code_address, 1 ) );",12
tb_testprogs.sv,134,"assert property (opcode_check) else $display( ""\n\n Error OP: %s , inst is [%d] operation is [%d] \n\n"", $past( opcode ), $past( dut.instruction[17:13] ), $past( dut.idu_operation ) );",14
tb_testprogs.sv,153,"assert property (reset_check) else $display( ""\n\n Error: PC is [%d] RESET_VECTOR is [%d] \n\n"", $past( dut.program_counter ), (RESET_VECTOR) );",9
tb_testprogs.sv,167,"assert property (rollover_check) else $display( ""\n\n Error: PC is [%d] Instruction is [%s] \n\n"", dut.program_counter, dut.instruction[17:13] );",7
tb_testprogs.sv,181,"assert property (zero_flag) else $display( ""\n\n ALU Result was 0; Error OP: %s , Zero flag was not set [ %h ], FAIL \n\n"", opcode, dut.zero );",7
tb_testprogs.sv,193,"assert property (carry_flag) else $display( ""\n\n ALU was Result > FF ; Error OP: %s , ALU Carry Out was not set [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,205,"assert property (addcy_carry_flag) else $display( ""\n\n ALU Result > FF; Error OP: %s , ALU Carry Out was not set [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,217,"assert property (sub_zero_flag) else $display( ""\n\n ALU Result < 0; Error OP: %s , Zero Flag was not set [ %h ], FAIL \n\n"", opcode, dut.zero );",7
tb_testprogs.sv,229,"assert property (sub_carry_flag) else $display( ""\n\n ALU Result < 0; Error OP: %s , ALU Carry Out was not set [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,241,"assert property (subcy_carry_flag) else $display( ""\n\n Subcy ALU Result < 0; Error OP: %s , Zero Flag was not set [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,255,"assert property (clear_carry_flag) else $display( ""\n\n AND sX, sX should clear Carry Flag; Error OP: %s , Carry Flag should has de-asserted but it is [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,269,"assert property (set_carry_flag) else $display( ""\n\n COMPARE sX, sX should set Zero flag but not Carry Flag; Error OP: %s , Carry Flag should has de-asserted but it is [ %h ], FAIL \n\n"", opcode, dut.alu.carry_out );",7
tb_testprogs.sv,284,"assert property (test_ADD_SUB) else $display( ""\n\n Error: OP1 %h +/- OP2 %h should NOT equal %h, you should ignore the error if OP1 == FF && OP2 == 1 \n\n"", dut.alu.operand_a, dut.alu.operand_b, dut.alu.addsub_result[7:0] );",8
