file_name,line_number,assertion_code,line_count
wrapper.sv,106,assume(ibus_rsp_pending_valid || ibus_rsp_needed || !ibus_rsp_valid);,1
wrapper.sv,107,assume(dbus_rsp_pending_valid || dbus_rsp_needed || !dbus_rsp_valid);,1
rvfi_dmem_check.sv,37,assert(dmem_shadow[i*8 +: 8] == rvfi_mem_rdata[i*8 +: 8]);,1
rvfi_liveness_check.sv,33,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_liveness_check.sv,34,assume(!rvfi_halt[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_liveness_check.sv,35,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_liveness_check.sv,38,assert(found_next_insn);,1
rvfi_imem_check.sv,41,assert(insn[15:0] == imem_data);,1
rvfi_imem_check.sv,44,assert(insn[31:16] == imem_data);,1
rvfi_reg_check.sv,38,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_reg_check.sv,39,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_reg_check.sv,42,assert(register_shadow == rvfi_rs1_rdata[`RISCV_FORMAL_CHANNEL_IDX*`RISCV_FORMAL_XLEN +: `RISCV_FORMAL_XLEN]);,1
rvfi_reg_check.sv,44,assert(register_shadow == rvfi_rs2_rdata[`RISCV_FORMAL_CHANNEL_IDX*`RISCV_FORMAL_XLEN +: `RISCV_FORMAL_XLEN]);,1
rvfi_causal_check.sv,36,assume(register_index != 0);,1
rvfi_causal_check.sv,37,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_causal_check.sv,39,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_causal_check.sv,40,assert(!found_non_causal);,1
rvfi_unique_check.sv,34,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_unique_check.sv,35,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_unique_check.sv,38,assert(!found_other_insn);,1
rvfi_pc_fwd_check.sv,38,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_pc_fwd_check.sv,39,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_csrw_check.sv,136,assume (csr_insn_valid);,1
rvfi_csrw_check.sv,137,assume (csr_insn_addr != csr_none);,1
rvfi_csrw_check.sv,147,assert (rvfi.trap);,1
rvfi_csrw_check.sv,148,assert (rvfi.rd_addr == 0);,1
rvfi_csrw_check.sv,149,assert (rvfi.rd_wdata == 0);,1
rvfi_csrw_check.sv,151,assert (!rvfi.trap);,1
rvfi_csrw_check.sv,152,assert (rvfi.rd_addr == rvfi.insn[11:7]);,1
rvfi_csrw_check.sv,156,assert (rvfi.rd_wdata == 0);,1
rvfi_csrw_check.sv,158,assert (csr_insn_rmask == {`RISCV_FORMAL_XLEN{1'b1}});,1
rvfi_csrw_check.sv,159,assert (csr_insn_rdata == rvfi.rd_wdata);,1
rvfi_csrw_check.sv,168,assert (csr_insn_changed_full[31:0] == 0);,1
rvfi_csrw_check.sv,170,assert (csr_insn_changed_full[63:32] == 0);,1
rvfi_csrw_check.sv,175,assert (rvfi.mem_wmask == 0);,1
rvfi_insn_check.sv,125,cover(spec_valid);,1
rvfi_insn_check.sv,126,cover(spec_valid && !trap);,1
rvfi_insn_check.sv,127,cover(check && spec_valid);,1
rvfi_insn_check.sv,128,cover(check && spec_valid && !trap);,1
rvfi_insn_check.sv,131,assume(spec_valid);,1
rvfi_insn_check.sv,134,assert(trap);,1
rvfi_insn_check.sv,135,assert(rd_addr == 0);,1
rvfi_insn_check.sv,136,assert(rd_wdata == 0);,1
rvfi_insn_check.sv,137,assert(mem_wmask == 0);,1
rvfi_insn_check.sv,144,assert(rs1_rdata == 0);,1
rvfi_insn_check.sv,147,assert(rs2_rdata == 0);,1
rvfi_insn_check.sv,151,assert(spec_rs1_addr == rs1_addr);,1
rvfi_insn_check.sv,154,assert(spec_rs2_addr == rs2_addr);,1
rvfi_insn_check.sv,156,assert(spec_rd_addr == rd_addr);,1
rvfi_insn_check.sv,157,assert(spec_rd_wdata == rd_wdata);,1
rvfi_insn_check.sv,166,assert(mem_wmask[i]);,1
rvfi_insn_check.sv,167,assert(spec_mem_wdata[i*8 +: 8] == mem_wdata[i*8 +: 8]);,1
rvfi_insn_check.sv,169,assert(mem_rmask[i]);,1
rvfi_insn_check.sv,170,assert(mem_rdata[i*8 +: 8] == mem_wdata[i*8 +: 8]);,1
rvfi_insn_check.sv,173,assert(mem_rmask[i]);,1
rvfi_insn_check.sv,178,assert(spec_trap == trap);,1
rvfi_pc_bwd_check.sv,38,assume(rvfi_valid[`RISCV_FORMAL_CHANNEL_IDX]);,1
rvfi_pc_bwd_check.sv,39,assume(insn_order == rvfi_order[64*`RISCV_FORMAL_CHANNEL_IDX +: 64]);,1
rvfi_hang_check.sv,31,assert(okay);,1
rvfi_hang_check.sv,36,assume(!rvfi_halt[channel_idx]);,1
rvfi_testbench.sv,21,assume property (reset == $initstate);,1
rvfi_ill_check.sv,46,cover(!reset && check && valid && insn == 0);,1
rvfi_ill_check.sv,48,assume(valid);,1
rvfi_ill_check.sv,49,assume(insn == 0);,1
rvfi_ill_check.sv,50,assert(trap);,1
rvfi_ill_check.sv,51,assert(rd_addr == 0);,1
rvfi_ill_check.sv,52,assert(rd_wdata == 0);,1
rvfi_ill_check.sv,53,assert(mem_wmask == 0);,1
imemcheck.sv,61,assume(iBus_rsp_inst[15:0] == imem_data);,1
imemcheck.sv,63,assume(iBus_rsp_inst[31:16] == imem_data);,1
wrapper.sv,93,restrict(~rvfi_trap && dBusCmdPendingCycles < 4 && dBusRspPendingCycles < 4 && iBusCmdPendingCycles < 4 && iBusRspPendingCycles < 4);,1
dmemcheck.sv,64,assume(dBus_rsp_data == dmem_data);,1
coverage.sv,10,assume property (reset == $initstate);,1
coverage.sv,63,assert (valid_ch0);,1
coverage.sv,66,assert (valid_ch1);,1
cover.sv,10,assume property (reset == $initstate);,1
cover.sv,113,cover (icount_p0 == 1);,1
cover.sv,114,cover (icount_p0 == 2);,1
cover.sv,115,cover (icount_p0 == 3);,1
cover.sv,117,cover (icount_p1 == 1);,1
cover.sv,118,cover (icount_p1 == 2);,1
cover.sv,119,cover (icount_p1 == 3);,1
cover.sv,121,cover (mcount_p0 == 1);,1
cover.sv,122,cover (mcount_p0 == 2);,1
cover.sv,123,cover (mcount_p0 == 3);,1
cover.sv,124,cover (mcount_p0 == 4);,1
cover.sv,126,cover (mcount_p1 == 1);,1
cover.sv,127,cover (mcount_p1 == 2);,1
cover.sv,128,cover (mcount_p1 == 3);,1
cover.sv,129,cover (mcount_p1 == 4);,1
cover.sv,131,cover (tcount == 2);,1
cover.sv,132,cover (tcount == 3);,1
cover.sv,133,cover (tcount == 4);,1
muldivlen.sv,33,assume (!io_req_valid);,1
muldivlen.sv,40,cover (values_ok && job_len == 33);,1
muldivlen.sv,41,assert (job_len == 33);,1
muldivlen.sv,44,cover (values_ok && job_len == 33);,1
muldivlen.sv,45,assert (job_len == 33);,1
muldivlen.sv,48,cover (values_ok && job_len == 33);,1
muldivlen.sv,49,assert (job_len == 33);,1
muldivlen.sv,52,cover (values_ok && job_len == 33);,1
muldivlen.sv,53,assert (job_len == 33);,1
muldivlen.sv,56,cover (values_ok && job_len == 34);,1
muldivlen.sv,57,cover (values_ok && job_len == 35);,1
muldivlen.sv,58,cover (values_ok && job_len == 36);,1
muldivlen.sv,59,assert (34 <= job_len && job_len <= 36);,1
muldivlen.sv,62,cover (values_ok && job_len == 34);,1
muldivlen.sv,63,assert (job_len == 34);,1
muldivlen.sv,66,cover (values_ok && job_len == 34);,1
muldivlen.sv,67,cover (values_ok && job_len == 35);,1
muldivlen.sv,68,cover (values_ok && job_len == 36);,1
muldivlen.sv,69,assert (34 <= job_len && job_len <= 36);,1
muldivlen.sv,72,cover (values_ok && job_len == 34);,1
muldivlen.sv,73,assert (job_len == 34);,1
muldivlen.sv,76,cover (values_ok && job_len == 33);,1
muldivlen.sv,77,assert (job_len == 33);,1
muldivlen.sv,80,cover (values_ok && job_len == 33);,1
muldivlen.sv,81,assert (job_len == 33);,1
muldivlen.sv,84,cover (values_ok && job_len == 33);,1
muldivlen.sv,85,assert (job_len == 33);,1
muldivlen.sv,88,cover (values_ok && job_len == 33);,1
muldivlen.sv,89,assert (job_len == 33);,1
