file_name,line_number,assertion_code,line_count
memory_interface.sv,45,assert(read | write == 1'b1);,1
memory_interface.sv,78,assert(1'b1 == 1'b0);,1
processor_6502.sv,895,assert(branch_active);,1
nes_mapper_base.sv,152,assert(controller_oe !== 2'b00); \ if (controller_oe[0] == 1'b0) begin \ cpu_data_in_next = reg_4016; \ end \ if (controller_oe[1] == 1'b0) begin \ cpu_data_in_next = reg_4017; \ end \ \ if (ppu_cs == 1'b0) begin \ cpu_data_in_next = ppu_cpu_data_out; \ end \ /* The end of the alway_comb section */,13
alu_6502.sv,37,assert(input_a[8] === 1'bx && input_b[8] === 1'bx);,1
alu_6502.sv,42,assert(input_a[8] === 1'bx && input_b[8] === 1'bx);,1
alu_6502.sv,47,assert(input_a[8] === 1'bx && input_b[8] === 1'bx);,1
alu_6502.sv,52,assert(input_b[8] === 1'bx);,1
alu_6502.sv,57,assert(input_b === 9'bx);,1
alu_6502.sv,61,assert(input_b === 9'bx);,1
alu_6502.sv,65,assert(input_a === 9'bx && input_b === 9'bx);,1
nes_mapper_zero.sv,55,assert(1'b0 == 1'b1);,1
nes_mapper_one.sv,25,assert(chr_bank_count <= 32);,1
nes_mapper_one.sv,26,assert(prg_bank_count <= 16);,1
complete.sv,68,assert(spec_valid && !spec_trap);,1
imemcheck.sv,43,assume(mem_rdata[15:0] == imem_data);,1
imemcheck.sv,45,assume(mem_rdata[31:16] == imem_data);,1
cover.sv,48,cover property (mem_read);,1
cover.sv,49,cover property (mem_write);,1
cover.sv,50,cover property (long_insns);,1
cover.sv,51,cover property (comp_insns);,1
cover.sv,52,cover property (mem_read >= 2 && mem_write >= 2 && long_insns >= 2 && comp_insns >= 2);,1
dmemcheck.sv,50,assume(dmem_data == mem_rdata);,1
executor.sv,505,assert(!next_has_databranch_Rd_value || !next_flush_for_pc);,1
cpu.sv,154,assert(flush_for_pc);,1
cpu.sv,156,assert(!executor_ready);,1
cpu.sv,158,assert(memaccessor_ready);,1
memaccessor.sv,63,assert(!write_enable || next_ready);,1
memaccessor.sv,104,assert(!write_enable);,1
memaccessor.sv,109,assert(!write_enable || !executor_update_Rd);,1
testbench.sv,96,assert (en[1:0] == dut.en_r);,1
testbench.sv,119,assert(itf.valid_o);,1
testbench.sv,96,assert (en[1:0] == dut.en_r);,1
testbench.sv,119,assert(itf.valid_o);,1
wishbone_assertions.sv,18,assert property (Buscheck_clocking.p0);,1
wishbone_assertions.sv,34,assert property (Buscheck_clocking.p0);,1
camellia_assertions.sv,12,assert property (clk_cone1.p0);,1
camellia_assertions.sv,17,assert property (clk_cone1.p0);,1
camellia_assertions.sv,22,assert property (clk_cone1.p0);,1
camellia_assertions.sv,30,assert property (clk_cone1.p0);,1
camellia_assertions.sv,36,assert property (clk_cone1.p1);,1
camellia_assertions.sv,42,assert property (clk_cone1.p2);,1
camellia_assertions.sv,48,assert property (clk_cone1.p3);,1
traceLength.sv,7,cover property (TLChecker_clocking.ptl)begin tl++;,2
bl_master_assertions.sv,24,assert property (MasterBusCheck_clocking.p0);,1
bl_master_assertions.sv,28,assert property (MasterBusCheck_clocking.p0);,1
bl_master_assertions.sv,32,assert property (MasterBusCheck_clocking.p0);,1
bl_master_assertions.sv,39,assert property (MasterBusCheck_clocking.p0);,1
bl_master_assertions.sv,45,assert property (MasterBusCheck_clocking.p1);,1
bl_master_assertions.sv,51,assert property (MasterBusCheck_clocking.p2);,1
bl_master_assertions.sv,57,assert property (MasterBusCheck_clocking.p3);,1
bl_master_assertions.sv,63,assert property (MasterBusCheck_clocking.p4);,1
ff_tb.sv,31,assert(q==0);,1
ff_tb.sv,37,assert(q==1);,1
ff_tb.sv,43,assert(q==0);,1
sdram_controller.sv,179,assert(`AXI_DATA_WIDTH == DATA_WIDTH);,1
spi_controller.sv,109,assert(spi_clk == 0);,1
vga_controller.sv,132,assert(pixel_fifo_empty);,1
l2_cache_read_stage.sv,252,assert(!l2t_l2_fill || !cache_hit);,1
l2_cache_update_stage.sv,123,assert(!l2r_restarted_flush || l2r_request.packet_type == L2REQ_FLUSH);,1
l2_cache_update_stage.sv,126,assert(!l2r_restarted_flush || !l2r_l2_fill);,1
io_request_queue.sv,108,assert(pending_request[thread_idx].valid);,1
nyuzi.sv,72,assert(`L1D_WAYS >= `THREADS_PER_CORE);,1
nyuzi.sv,73,assert(`L1I_WAYS >= `THREADS_PER_CORE);,1
l2_cache_pending_miss_cam.sv,81,assert(reset || empty_entries != 0);,1
dcache_tag_stage.sv,165,assert(`L1D_SETS <= 64);,1
writeback_stage.sv,505,assert(dd_instruction.has_dest);,1
writeback_stage.sv,512,assert(!dd_instruction.dest_vector);,1
writeback_stage.sv,515,assert(dd_instruction.dest_vector);,1
writeback_stage.sv,521,assert(dd_instruction.has_dest && !dd_instruction.dest_vector);,1
l2_cache_arb_stage.sv,124,assert(l2bi_request.packet_type != L2REQ_IINVALIDATE);,1
l2_cache_arb_stage.sv,125,assert(l2bi_request.packet_type != L2REQ_DINVALIDATE);,1
sync_fifo.sv,118,assert(!full);,1
sync_fifo.sv,125,assert(!empty);,1
l1_load_miss_queue.sv,112,assert(pending_entries[wait_entry].valid);,1
l1_load_miss_queue.sv,113,assert(!pending_entries[wait_entry].request_sent);,1
l1_load_miss_queue.sv,127,assert(!pending_entries[wait_entry].valid);,1
l1_load_miss_queue.sv,137,assert(pending_entries[wait_entry].valid);,1
l1_load_miss_queue.sv,138,assert(pending_entries[wait_entry].request_sent);,1
l1_store_queue.sv,184,assert(!pending_stores[thread_idx].thread_waiting);,1
l1_store_queue.sv,196,assert(pending_stores[thread_idx].response_received);,1
l1_store_queue.sv,199,assert(dd_store_sync);,1
l1_store_queue.sv,202,assert(dd_store_addr == pending_stores[thread_idx].address);,1
l1_store_queue.sv,210,assert(!enqueue_cache_control);,1
l1_store_queue.sv,237,assert(pending_stores[thread_idx].response_received);,1
l1_store_queue.sv,238,assert(!got_response_this_entry);,1
l1_store_queue.sv,239,assert(!pending_stores[thread_idx].flush);,1
l1_store_queue.sv,240,assert(!rollback[thread_idx]);,1
l1_store_queue.sv,241,assert(dd_store_sync); // Restarted instruction must be synchronized assert(!enqueue_cache_control);,2
l1_store_queue.sv,251,assert(!pending_stores[thread_idx].valid || got_response_this_entry);,1
l1_store_queue.sv,253,assert(!enqueue_cache_control);,1
l1_store_queue.sv,267,assert(!rollback[thread_idx]);,1
l1_store_queue.sv,285,assert(pending_stores[thread_idx].valid);,1
l1_store_queue.sv,286,assert(pending_stores[thread_idx].request_sent);,1
l1_store_queue.sv,289,assert(!pending_stores[thread_idx].response_received);,1
ifetch_data_stage.sv,240,assert(!ifd_tlb_miss || !ifd_supervisor_fault);,1
ifetch_data_stage.sv,241,assert(!ifd_tlb_miss || !ifd_page_fault);,1
ifetch_data_stage.sv,242,assert(!ifd_tlb_miss || !ifd_executable_fault);,1
